date,year,incidents,is_weekend,is_bonfire_window,day_of_year
2009-01-01,2009,276,0,0,1
2009-01-02,2009,253,0,0,2
2009-01-03,2009,288,1,0,3
2009-01-04,2009,338,1,0,4
2009-01-05,2009,268,0,0,5
2009-01-06,2009,284,0,0,6
2009-01-07,2009,279,0,0,7
2009-01-08,2009,297,0,0,8
2009-01-09,2009,283,0,0,9
2009-01-10,2009,292,1,0,10
2009-01-11,2009,307,1,0,11
2009-01-12,2009,250,0,0,12
2009-01-13,2009,266,0,0,13
2009-01-14,2009,295,0,0,14
2009-01-15,2009,295,0,0,15
2009-01-16,2009,253,0,0,16
2009-01-17,2009,319,1,0,17
2009-01-18,2009,324,1,0,18
2009-01-19,2009,257,0,0,19
2009-01-20,2009,237,0,0,20
2009-01-21,2009,254,0,0,21
2009-01-22,2009,249,0,0,22
2009-01-23,2009,267,0,0,23
2009-01-24,2009,284,1,0,24
2009-01-25,2009,311,1,0,25
2009-01-26,2009,285,0,0,26
2009-01-27,2009,255,0,0,27
2009-01-28,2009,267,0,0,28
2009-01-29,2009,270,0,0,29
2009-01-30,2009,262,0,0,30
2009-01-31,2009,306,1,0,31
2009-02-01,2009,345,1,0,32
2009-02-02,2009,266,0,0,33
2009-02-03,2009,263,0,0,34
2009-02-04,2009,237,0,0,35
2009-02-05,2009,272,0,0,36
2009-02-06,2009,264,0,0,37
2009-02-07,2009,276,1,0,38
2009-02-08,2009,297,1,0,39
2009-02-09,2009,304,0,0,40
2009-02-10,2009,292,0,0,41
2009-02-11,2009,283,0,0,42
2009-02-12,2009,274,0,0,43
2009-02-13,2009,246,0,0,44
2009-02-14,2009,286,1,0,45
2009-02-15,2009,289,1,0,46
2009-02-16,2009,270,0,0,47
2009-02-17,2009,287,0,0,48
2009-02-18,2009,260,0,0,49
2009-02-19,2009,298,0,0,50
2009-02-20,2009,276,0,0,51
2009-02-21,2009,320,1,0,52
2009-02-22,2009,293,1,0,53
2009-02-23,2009,261,0,0,54
2009-02-24,2009,272,0,0,55
2009-02-25,2009,280,0,0,56
2009-02-26,2009,276,0,0,57
2009-02-27,2009,248,0,0,58
2009-02-28,2009,305,1,0,59
2009-03-01,2009,295,1,0,60
2009-03-02,2009,267,0,0,61
2009-03-03,2009,253,0,0,62
2009-03-04,2009,295,0,0,63
2009-03-05,2009,287,0,0,64
2009-03-06,2009,250,0,0,65
2009-03-07,2009,333,1,0,66
2009-03-08,2009,261,1,0,67
2009-03-09,2009,275,0,0,68
2009-03-10,2009,274,0,0,69
2009-03-11,2009,265,0,0,70
2009-03-12,2009,246,0,0,71
2009-03-13,2009,257,0,0,72
2009-03-14,2009,283,1,0,73
2009-03-15,2009,279,1,0,74
2009-03-16,2009,254,0,0,75
2009-03-17,2009,247,0,0,76
2009-03-18,2009,265,0,0,77
2009-03-19,2009,283,0,0,78
2009-03-20,2009,276,0,0,79
2009-03-21,2009,313,1,0,80
2009-03-22,2009,310,1,0,81
2009-03-23,2009,269,0,0,82
2009-03-24,2009,239,0,0,83
2009-03-25,2009,255,0,0,84
