Year,England3,Incidents,"Wales5,6",Great Britain,England3,Scotland4,"Wales5,6",Great Britain,,,,,
2009,"680,634","103,820","46,341","830,795","13,040","19,844","15,249","13,740",,,,,
2010,"647,346","101,432","46,881","795,659","12,297","19,276","15,371","13,053",,,,,
2011,"606,938","91,566","39,997","738,501","11,429","17,277","13,055","12,014",,,,,
2012,"521,303","83,832","36,251","641,386","9,743","15,777","11,805","10,363",,,,,
2013,"526,886","84,882","38,599","650,367","9,772","15,932","12,568","10,436",,,,,
2014,"496,279","85,050","36,425","617,754","9,128","15,904","11,850","9,838",,,,,
2015,"529,710","88,869","36,750","655,329","9,665","16,540","11,960","10,360",,,,,
2016,"560,764","91,261","37,216","689,241","10,142","16,885","12,094","10,808",,,,,
2017,"566,210","91,901","36,768","694,879","10,180","16,941","11,932","10,836",,,,,
2018,"576,593","92,748","36,674","706,015","10,310","17,055","11,892","10,955",,,,,
2019,"558,034","92,075","34,996","685,105","9,924","16,853","11,334","10,576",,,,,
2020,"518,325","85,636","32,225","636,186","9,202","15,667","10,380","9,803",,,,,
2021,"577,212","95,755","34,735","707,702","10,206","17,474","11,185","10,864",,,,,
2022,"622,689","99,607","37,428","759,724","10,904","18,284","11,952","11,566",,,,,
2023,"600,515","80,488","38,061","719,064","10,409","14,661","12,028","10,838",,,,,
2024,"603,942",..,..,..,..,..,..,..,,,,,
2024/25,"603,942",..,..,..,..,..,..,..,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
